AdultID,EggID,FMass,MMass,Genetic,Order,Rearing,Sex,Treatment,DayM,Mass,DayT,Tarsus,Head,Body
3595,9_4,16.6,14.13,9,4,22,F,cont,16,NA,30,NA,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,30,15.11,60,14.7,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,40,NA,NA,NA,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,60,15.02,NA,NA,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,90,16.27,NA,NA,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,0,0.8815,0,NA,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,2,1.45,2,5.22,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,5,3.73,5,9.12,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,10,8.77,10,13.39,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,16,10.03,30,15.5,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,30,13.38,60,15.4,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,40,13.28,NA,NA,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,60,13.51,NA,NA,NA,NA
3596,32_6,15.05,12.79,32,6,6,F,per,90,13.84,NA,NA,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,0,0.9335,0,NA,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,2,1.31,2,4.33,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,5,3.39,5,7.47,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,10,9.64,10,15.00,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,16,11.87,30,16.2,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,30,14.94,60,16.9,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,40,15.1,NA,NA,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,60,15.26,NA,NA,NA,NA
3597,11_4,16.81,16.46,11,4,6,F,per,90,17.35,NA,NA,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,0,0.8252,0,NA,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,2,1.33,2,4.09,NA,NA
