AdultID,Sex,Treatment,Genetic ,Rearing,Day,Age,Timepoint,CORT,Integral,Plate,Mass,Free_Hormone,Per_CBG_Sat,CBG_Conc
3612,F,per,28,29,90,91,Baseline,1.600460872,96.93106439,11,13.61,0.02324874,1.55,297.1541277
3612,F,per,28,29,90,91,Stress,5.22396,96.93106439,11,13.61,NA,NA,NA
3613,M,low,29,29,16,16,Baseline,0.31885,352.202385,6,11.9,NA,NA,NA
3613,M,low,29,29,16,16,Stress,25.69936,352.202385,6,11.9,NA,NA,NA
3613,M,low,29,29,40,40,Baseline,0.31471,180.29676,6,13.58,NA,NA,NA
3613,M,low,29,29,40,40,Stress,12.97067,180.29676,6,13.58,NA,NA,NA
3613,M,low,29,29,90,90,Baseline,1.27933,236.688285,6,13.57,NA,NA,NA
3613,M,low,29,29,90,90,Stress,15.96884,236.688285,6,13.57,NA,NA,NA
3614,F,cont,29,29,16,16,Baseline,1.92492,330.76269,15,12.27,0.056297421,3.664487125,150.0626709
3614,F,cont,29,29,16,16,Stress,22.14826,330.76269,15,12.27,1.77070263,54.47138147,114.0952147
3614,F,cont,29,29,40,40,Baseline,11.68516,400.3887,15,13.69,NA,NA,NA
3614,F,cont,29,29,40,40,Stress,15.37656,400.3887,15,13.69,NA,NA,NA
3614,F,cont,29,29,90,90,Baseline,NA,NA,15,14.73,NA,NA,NA
3614,F,cont,29,29,90,90,Stress,16.19968,NA,15,14.73,0.281373958,15.97468595,290.9036799
3615,F,per,2,29,16,15,Baseline,2.48929,151.52907,14,12.06,0.051487258,3.361912247,212.159341
3615,F,per,2,29,16,15,Stress,8.18191,151.52907,14,12.06,0.327011428,18.09681016,128.6746352
3615,F,per,2,29,40,39,Baseline,0.938017803,67.75725875,14,14.9,NA,NA,NA
3615,F,per,2,29,40,39,Stress,3.87259,67.75725875,14,14.9,NA,NA,NA
3615,F,per,2,29,90,89,Baseline,1.597315607,55.45131252,14,15.61,0.028508238,1.889829756,242.4212657
3615,F,per,2,29,90,89,Stress,2.15523,55.45131252,14,15.61,NA,NA,NA
3616,M,per,4,2,16,17,Baseline,1.67625754,182.6041608,8,12.25,NA,NA,NA
3616,M,per,4,2,16,17,Stress,4.94333,182.6041608,8,12.25,NA,NA,NA
3616,M,per,4,2,40,41,Baseline,1.10796877,30.92615791,8,13.88,NA,NA,NA
3616,M,per,4,2,40,41,Stress,1.05086,30.92615791,8,13.88,NA,NA,NA
3616,M,per,4,2,90,91,Baseline,1.67625754,399.6768708,8,14.3,NA,NA,NA
3616,M,per,4,2,90,91,Stress,10.30315,399.6768708,8,14.3,NA,NA,NA
3617,M,low,4,2,16,16,Baseline,1.70614,353.57259,14,12.05,NA,NA,NA
